ms_path,base_name,year,start_freq,end_freq,bandwidth,size,uv_sub_path,build_concat_all,tclean_all,build_concat_epoch,tclean_epoch
/home/00103780/dlg/MeasurementSets/Split/648a71a52ffc7cc2.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,984,988,4,0.037,,/home/00103780/dlg/MeasurementSets/build_concat_all/16e5f37f723784b2.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8ff3a6ab7225e1e6.ms,,
/home/00103780/dlg/MeasurementSets/Split/c69fce36fc9a37d5.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,984,988,4,0.052,,/home/00103780/dlg/MeasurementSets/build_concat_all/16e5f37f723784b2.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8ff3a6ab7225e1e6.ms,,
/home/00103780/dlg/MeasurementSets/Split/fde3f8db9cfe771f.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,992,996,4,0.036,,/home/00103780/dlg/MeasurementSets/build_concat_all/abf434d4f54af89d.ms,/home/00103780/dlg/MeasurementSets/tclean_all/52b0521e2a07b698.ms,,
/home/00103780/dlg/MeasurementSets/Split/d9a4f2a2fe856b0d.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,992,996,4,0.047,,/home/00103780/dlg/MeasurementSets/build_concat_all/abf434d4f54af89d.ms,/home/00103780/dlg/MeasurementSets/tclean_all/52b0521e2a07b698.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/778d1b5aa1136c37.ms
/home/00103780/dlg/MeasurementSets/Split/4fb43e0bfe351a66.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,996,1000,4,0.036,,/home/00103780/dlg/MeasurementSets/build_concat_all/b5a6b962f5b157c5.ms,/home/00103780/dlg/MeasurementSets/tclean_all/a1689c5ac99e8293.ms,,
/home/00103780/dlg/MeasurementSets/Split/bb7df6f06beca93a.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,988,992,4,0.039,,/home/00103780/dlg/MeasurementSets/build_concat_all/8d2c71e85c205ce3.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3dcd98def21370a4.ms,,
/home/00103780/dlg/MeasurementSets/Split/9708f4ac276a6fb5.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,988,992,4,0.045,,/home/00103780/dlg/MeasurementSets/build_concat_all/8d2c71e85c205ce3.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3dcd98def21370a4.ms,,
/home/00103780/dlg/MeasurementSets/Split/be91e7fbf866aefc.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,988,992,4,0.048,,/home/00103780/dlg/MeasurementSets/build_concat_all/8d2c71e85c205ce3.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3dcd98def21370a4.ms,,
/home/00103780/dlg/MeasurementSets/Split/90a88c710bdbd0f9.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,1000,1004,4,0.036,,/home/00103780/dlg/MeasurementSets/build_concat_all/c5a394ae7adb25c8.ms,/home/00103780/dlg/MeasurementSets/tclean_all/1a4c48cf20462153.ms,,
/home/00103780/dlg/MeasurementSets/Split/e6a9581d4a59ea09.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,996,1000,4,0.047,,/home/00103780/dlg/MeasurementSets/build_concat_all/b5a6b962f5b157c5.ms,/home/00103780/dlg/MeasurementSets/tclean_all/a1689c5ac99e8293.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/6c224663883bb67a.ms
/home/00103780/dlg/MeasurementSets/Split/454d28f527e34551.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,1004,1008,4,0.036,,/home/00103780/dlg/MeasurementSets/build_concat_all/51619024bc0f1d2d.ms,/home/00103780/dlg/MeasurementSets/tclean_all/ed0cb2cbbbb0ea9b.ms,,
/home/00103780/dlg/MeasurementSets/Split/7388326c18602ce2.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,992,996,4,0.042,,/home/00103780/dlg/MeasurementSets/build_concat_all/abf434d4f54af89d.ms,/home/00103780/dlg/MeasurementSets/tclean_all/52b0521e2a07b698.ms,,
